,poverty_pct,median_income,minority_pct,black_pct,hispanic_pct,total_pop,monitor_count,has_monitor
count,3143.0,3143.0,3143.0,3143.0,3143.0,3143.0,3143.0,3143.0
mean,14.491568565065224,65561.64142538975,25.430306826310595,9.499895243195732,10.528891132229775,106558.96086541521,0.8020999045497932,0.3337575564747057
std,5.55298322650702,16543.495767050747,20.174471594676792,14.308014227836996,13.876147212927826,332619.15989551536,2.1788949292858506,0.47162932614375663
min,3.3,28579.0,2.4581403633772703,0.0,0.2499687539057618,43.0,0.0,0.0
25%,10.6,54616.0,8.927030474632335,1.086999290358249,2.8816646991580486,10765.5,0.0,0.0
50%,13.6,62851.0,18.54999767776694,2.7777777777777777,5.2703283860399,25982.0,0.0,0.0
75%,17.4,73073.5,37.43622487489401,11.029174600890162,11.543355637560488,69552.0,1.0,1.0
max,49.6,173655.0,97.51721418388085,86.48021353139144,96.98183031516365,9663345.0,49.0,1.0
